animal,quantity,body_part_found,date_started,date_closed,source,division,form,status,priority,complaint_type,descriptor_1,descriptor_2,complaint_details,location_type,park_or_facility,property_number,park_district,additional_location_details,council_district_number,site_street_address,site_borough,site_city_zip,lat,lng,complaint_type_confirmed,descriptor_confirmed,resolution_action_updated,resolution_description,time_to_action
Cat,1,Head,9/17/2007,10/24/2007,3-1-1 Call Center,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER STATES HE FOUND A CAT HEAD PLACED ON FENCE INSIDE PARK,Park,RIVERSIDE PARK,M071,14,LOCATED AT THE 99 ST ENTRACE ON THE PATH ON THE UPPER LEVEL,6,"RIVERSIDE DR TO HUDSON RIVER, W 59 ST TO",MANHATTAN,NEW YORK 10023,40.7769059,-73.9800645,Animal in a Park,Dead Animal,10/24/2007 11:08:57,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Cat,1,Head,9/17/2007,10/24/2007,3-1-1 Call Center,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER STATES HE FOUND A CATS HEAD PLACED ON FENCE IN RIVERSIDE PARK,Park,RIVERSIDE PARK - DINASOUR PLAYGROUND,M071,14,SOUTH OF FIREMANS MENORIAL BETWEEN 99 STREET AND 100 STREET.,6,W 97 ST AND RIVERSIDE DR,MANHATTAN,NEW YORK 10023,40.7965253,-73.9741203,Animal in a Park,Dead Animal,10/24/2007 10:59:32,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Cat,1,Head,9/17/2007,11/9/2007,3-1-1 Call Center,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,"CALLER STATED THAT THERE IS A CAT IN THE CITY PARK WHICH IS DECAPITATED BY SOMEONE, CALLER STATED THIS ANIMAL NEED TO CLEAN UP AND NEED SOME ASSISTANCE. CLR STATED THE ANIMAL IS NEAR THE FIREMAN MEMORIAL.",Park,RIVERSIDE PARK - DINASOUR PLAYGROUND,M071,14,ON W 99 STREET AND RIVERSIDE DRIVE.,6,W 97 ST AND RIVERSIDE DR,MANHATTAN,NEW YORK 10023,40.7965253,-73.9741203,Animal in a Park,Dead Animal,11/9/2007 11:23:27,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Cat,1,Head,9/17/2007,11/13/2007,3-1-1 Call Center,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER STATED THAT THERE IS A CAT HEAD THAT IS ATTACHED TO STAKE THAT IS FENCED AROUND THE FIREMEN MEMORIAL.,Park,RIVERSIDE PARK,,,FIREMEN MEMORIAL AREA. WALK ON THE PATH,9,,MANHATTAN,NEW YORK 10025,40.8012339,-73.9723096,Animal in a Park,Dead Animal,11/13/2007 16:26:26,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Not specified,1,Not specified,10/24/2007,10/25/2007,3-1-1 Call Center,Borough Maintenance Operations Office - Bronx,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,DEAD ANIMAL HEAD IN A BLUE PLASTIC BAG,Park,BRONX PARK,,,"OPPOSITE 306 E MOSHOLU PKWY SOUTH, NEXT TO TREE IN PARK",11,,BRONX,BRONX 10458,40.8621507,-73.8807418,Animal in a Park,Dead Animal,10/25/2007 14:23:59,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Chicken,2,Head and Body,11/19/2007,11/20/2007,3-1-1 Call Center,Borough Maintenance Operations Office - Bronx,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,THE CALLER STATES THAT THERE TWO DECAPITATED CHICKENS INSIDE OF THE PARK,Park,FRANZ SIGEL PARK,X047,4,THE DEAD BIRDS ARE NEAR THE EAST 158TH STREET ENTRANCE,17,"NYCRR, WALTON AVE, E 158 ST, GRAND",BRONX,BRONX 10451,40.8187386,-73.9271644,Animal in a Park,Dead Animal,11/20/2007 14:39:17,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Chicken,2,Body Without Head,12/8/2007,12/11/2007,3-1-1 Call Center,Borough Maintenance Operations Office - Queens,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER STATE THERE ARE ABOUT 2 DEAD CHICKENS WITHOUT HEADS IN THE PARK,Park,MORNINGSIDE PARK,M056,9,MORNINGSIDE DRIVE AND WEST 120 STREET ON THE STAIRS,9,"W 110 TO W 123 ST, MANHATTAN AVE TO",MANHATTAN,NEW YORK 10026,40.8032131,-73.9525825,Animal in a Park,Dead Animal,12/11/2007 9:46:09,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Chicken,1,Head and Body,12/15/2007,12/26/2007,3-1-1 Call Center,Borough Maintenance Operations Office - Bronx,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER STATES THAT THERE IS A DEAD ANIMAL IN THE ENTRANCE OFF THE PARK. ITS A DEAD CHICKEN WITH HIS HEAD CUT OFF.,Park,WILLIAMSBRIDGE OVAL -P G MINI POOL AND,X104,7,IN THE PARK,11,"RESERVOIR OVAL EAST, HOLT PL",BRONX,BRONX 10467,40.8765981,-73.8765489,Animal in a Park,Dead Animal,12/26/2007 8:42:05,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Chicken,2,Head and Body,3/25/2008,3/27/2008,3-1-1 Call Center,Borough Maintenance Operations Office - Bronx,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER IS REPORTING THAT THERE ARE TWO DEAD CHICKENS IN THE PARK WITH THEIR HEADS CUT OFF. IT IS BY THE WATER FRONT NEAR NORTH WEST BARBEQUE AREA.,Park,FERRY POINT PARK,X126,10,NORTH WEST BARBEQUE AREA BY THE WATER FRONT.,18,"WESTCHESTER CR, SCHLEY, EMERSON AVES.",BRONX,BRONX 10465,40.8262186,-73.8242621,Animal in a Park,Dead Animal,3/27/2008 14:37:19,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Goat,1,Body Without Head,4/8/2008,4/9/2008,3-1-1 Call Center,Borough Maintenance Operations Office - Bronx,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,"CALLER SAID THAT THERE IS A DEAD GOAT WITH NOT HEAD, LOCATED BY THE WATER AT THE BEGINNING OF THE BEACK IN THE PARK.",Park,FERRY POINT PARK,X126,10,BY WATER OF THE BEACH.,18,"WESTCHESTER CR, SCHLEY, EMERSON AVES.",BRONX,BRONX 10465,40.8262186,-73.8242621,Animal in a Park,Dead Animal,4/9/2008 14:17:26,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
