,Country,City,AccentCity,Region,Population,Latitude,Longitude
104886,am,arevshat,Arevshat,7.0,1623.0,40.648611100000004,44.044444399999996
104887,am,argavand,Argavand,2.0,1703.0,40.158055600000004,44.44
104888,am,argavand,Argavand,3.0,2047.0,40.0608333,44.0952778
104889,am,argel,Argel,5.0,2528.0,40.3794444,44.599444399999996
104901,am,armash,Armash,10.0,2434.0,39.7666667,44.8083333
104902,am,armavir,Armavir,3.0,2752.0,40.089722200000004,44.048333299999996
104918,am,arshaluys,Arshaluys,3.0,3808.0,40.1688889,44.2141667
104923,am,artashat,Artashat,2.0,20562.0,39.953888899999995,44.5505556
104933,am,arteni,Arteni,1.0,3086.0,40.298333299999996,43.7541667
104935,am,artimet,Artimet,3.0,1501.0,40.15138889999999,44.266388899999995
104940,am,artsvaberd,Artsvaberd,9.0,3193.0,40.833611100000006,45.4711111
104943,am,artsvanist,Artsvanist,4.0,2819.0,40.154444399999996,45.5022222
104948,am,arzakan,Arzakan,5.0,2660.0,40.4494444,44.6063889
104951,am,arzni,Arzni,5.0,2244.0,40.2963889,44.595833299999995
104954,am,ashnak,Ashnak,1.0,1131.0,40.3275,43.9166667
104957,am,ashtarak,Ashtarak,1.0,18779.0,40.3016667,44.3591667
104960,am,astghadzor,Astghadzor,4.0,3520.0,40.1238889,45.3566667
104989,am,avshar,Avshar,2.0,4215.0,39.8405556,44.6836111
105000,am,aygavan,Aygavan,2.0,3758.0,39.8647222,44.6702778
105003,am,aygedzor,Aygedzor,8.0,2535.0,39.4627778,46.4152778
105006,am,aygehovit,Aygehovit,9.0,2888.0,40.974444399999996,45.2519444
105007,am,aygek,Aygek,3.0,1095.0,40.1886111,44.3833333
105010,am,aygepat,Aygepat,2.0,1349.0,39.95,44.6
105012,am,aygeshat,Aygeshat,1.0,1358.0,40.235555600000005,44.286666700000005
105013,am,aygeshat,Aygeshat,3.0,1606.0,40.0666667,44.0666667
105014,am,aygestan,Aygestan,2.0,2431.0,40.0030556,44.5575
105015,am,aygezard,Aygezard,2.0,3192.0,39.9458333,44.6088889
105016,am,aygut,Aygut,4.0,997.0,40.6841667,45.173055600000005
105030,am,ayrum,Ayrum,6.0,2174.0,41.195,44.8925
105031,am,ayrum,Ayrum,9.0,2174.0,41.1716667,44.819166700000004
105037,am,azatamut,Azatamut,9.0,1850.0,40.9758333,45.1980556
105038,am,azatan,Azatan,7.0,4448.0,40.7238889,43.820555600000006
