Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antigua and Barbuda,ATG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7921115,0.092391158,,,,,0.780367566,,0.056512531,,0,0,0,0,0,,
Australia,AUS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.074119703,7.301448572,8.069528624,9.777940932,10.43484734,11.48080469,14.08045528,12.85512116,12.07011374,11.7296787,11.46150241,11.09083182,15.35994466,15.52538698,16.51967087,13.69082382,13.53592125,12.79191222,12.34262502,10.27225042,10.78836729,11.92575811,11.87659321,13.06709696,12.72958582,12.90999462,,
Austria,AUT,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.006911807,7.106485893,7.872959217,8.60114522,8.418167576,8.779092371,10.09522629,8.845950449,8.873684795,10.89953662,10.95634018,12.26966483,14.5978167,14.60985136,16.35080876,15.53155285,16.16497769,13.74293268,13.33616014,11.30981058,10.99615568,11.63616928,11.90557539,11.66917993,12.83668275,13.71555062,,
Azerbaijan,AZE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.227088648,4.433975234,13.69323664,8.537543672,4.589822663,8.849828078,7.895818312,5.148316951,2.177362335,1.056412864,1.750041177,3.399733126,0.923285802,0.983053092,1.083928988,1.347690121,7.268488732,13.42318223,,
Burundi,BDI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040585914,1.063410386,0.196872991,,,1.488598773,0.331964263,0.029389169,2.413168476,22.34362413,12.08864189,5.874200279,4.192780562,3.138245956,2.164699349,7.515000867,11.53697767,8.495674857,0.000246442,2.747348904,,,
Belgium,BEL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.184539201,10.73111062,10.91552472,8.878819382,8.941254603,8.560834832,8.860730563,8.403976069,7.440041664,7.983861849,10.42611562,10.47916271,10.00503949,11.35660992,,,
Benin,BEN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2252066,1.284970034,0.104314164,0.138567304,1.710395107,0.120940187,0.058654477,0.099451407,0.165676721,0.844632449,0.395744079,1.051061652,1.640709917,0.427288091,3.104582663,1.229335186,,
Burkina Faso,BFA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.930869669,6.143943375,6.296766785,3.396849025,4.334705109,3.175585167,6.979166712,2.089186652,4.994862305,11.36530693,22.4762717,,5.669520092,0.676025452,0.513097166,7.80400791,5.901046167,,13.67876877,,
Bangladesh,BGD,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.407667872,0.483968406,0.25281959,0.187750146,0.018236716,0.064091519,0.032008656,0.062837154,0.007480761,0.076074416,,0.213022147,0.182700197,0.135246924,0.251442821,0.210449868,0.324630911,0.219801354,1.152298157,0.41331427,0.263125028,0.178823145,0.174566158,,,,
Bulgaria,BGR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.858449011,3.744537967,2.996571081,2.927298816,2.871843797,2.891882992,4.107230657,4.43462004,4.062545452,4.771201768,6.119406356,5.96936262,6.553650555,8.150133519,7.913048156,7.467038084,7.745770053,7.961089594,,
Bahrain,BHR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.109108717,2.632504778,4.398478916,,,,0.036057196,0.008796294,0.007207361,0.115940633,0.070899214,0.066559847,0.055502632,0.045860412,2.528276136,0.029698626,0.110260452,0.152283226,,,,
"Bahamas, The",BHS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26.98175054,2.453832973,6.808285497,0.684347397,3.089954198,0,0,0.000416075,0.389315819,0.000132022,0,3.27E-05,0.001796119,0,0,0,,
Bosnia and Herzegovina,BIH,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.756544819,1.88441994,2.040566406,2.169110677,2.138579791,4.143127492,3.276536945,2.581811569,3.043084153,2.463272621,2.301306161,,
Belarus,BLR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75090565,3.53959353,3.829054522,4.082892217,4.29201562,3.760012708,2.849037453,2.696633068,2.791624357,2.76756662,2.431325923,3.132210554,3.032501013,2.571723438,2.883403906,4.399741122,,
Belize,BLZ,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.001229467,0,0,0,0.002459754,2.643049787,1.90E-05,0.016326242,0.007780191,0.069737677,0.000271206,0.00992531,10.20706601,0.075809047,0.105390596,0.376772381,,4.838283915,,0,,
Bermuda,BMU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.268494834,12.40823794,,
