person_a,person_b,interaction_type,page_no,edition,Who Did This Work?,Notes
passers,simon dedalus,3,88,1961 The Modern Library,Steven Hoelscher,
passers,mr. power,3,88,1961 The Modern Library,Steven Hoelscher,
passers,martin cunningham,3,88,1961 The Modern Library,Steven Hoelscher,
bloom,stephen dedalus,2,88,1961 The Modern Library,Steven Hoelscher,
simon dedalus,mulligan,1,88,1961 The Modern Library,Steven Hoelscher,
simon dedalus,aunt sally,1,88,1961 The Modern Library,Steven Hoelscher,
simon dedalus,richie goulding,1,88,1961 The Modern Library,Steven Hoelscher,
simon dedalus,collis,1,88,1961 The Modern Library,Steven Hoelscher,
simon dedalus,ward,1,88,1961 The Modern Library,Steven Hoelscher,
simon dedalus,"""the drunken little cost-drawer"" [sara goulding]",1,88,1961 The Modern Library,Steven Hoelscher,
simon dedalus,crissie,1,88,1961 The Modern Library,Steven Hoelscher,
bloom,ignatius gallaher,1,88,1961 The Modern Library,Steven Hoelscher,
simon dedalus,peter paul m'swiney,1,88,1961 The Modern Library,Steven Hoelscher,
bloom,rudy bloom,1,89,1961 The Modern Library,Steven Hoelscher,
bloom,molly,"1, 7",89,1961 The Modern Library,Steven Hoelscher,"I've marked this as ""7"" because Poldy desires sex here"
mr. power,corny kelleher,1,89,1961 The Modern Library,Steven Hoelscher,
simon dedalus,corny kelleher,1,89,1961 The Modern Library,Steven Hoelscher,
bloom,mrs. fleming,1,89,1961 The Modern Library,Steven Hoelscher,
martin cunningham,tom kernan,1,90,1961 The Modern Library,Steven Hoelscher,
bloom,ned lambert,1,90,1961 The Modern Library,Steven Hoelscher,
bloom,hynes,1,90,1961 The Modern Library,Steven Hoelscher,
bloom,m'coy,1,90,1961 The Modern Library,Steven Hoelscher,
bloom,athos,1,90,1961 The Modern Library,Steven Hoelscher,"Athos is Bloom's Father's dog, for post-humanist's sake"
martin cunningham,paddy leonard,1,90,1961 The Modern Library,Steven Hoelscher,
stephen dedalus,buck mulligan,6,11,"Vintage, 1990",Pamela Andrews,Breakfast Scene
stephen dedalus,haines,6,11,"Vintage, 1990",Pamela Andrews,Breakfast Scene
buck mulligan,haines,6,11,"Vintage, 1990",Pamela Andrews,Breakfast Scene
haines,old woman with milk,2,12,"Vintage, 1990",Pamela Andrews,
old woman with milk,buck mulligan,5,13,"Vintage, 1990",Pamela Andrews,
old woman with milk,stephen dedalus,5,13,"Vintage, 1990",Pamela Andrews,
stephen dedalus,old woman with milk,2,13,"Vintage, 1990",Pamela Andrews,
buck mulligan,old woman with milk,6,14,"Vintage, 1990",Pamela Andrews,
stephen dedalus,old woman with milk,5,14,"Vintage, 1990",Pamela Andrews,
old woman with milk,haines,6,14-15,"Vintage, 1990",Pamela Andrews,
old woman with milk,buck mulligan,6,14-15,"Vintage, 1990",Pamela Andrews,
stephen dedalus,old woman with milk,5,15,"Vintage, 1990",Pamela Andrews,
buck mulligan,stephen dedalus,6,15-16,"Vintage, 1990",Pamela Andrews,
buck mulligan,haines,6,15-16,"Vintage, 1990",Pamela Andrews,
haines,stephen dedalus,6,15,"Vintage, 1990",Pamela Andrews,
buck mulligan,stephen dedalus,6,16-17,"Vintage, 1990",Pamela Andrews,
haines,buck mulligan,6,17-18,"Vintage, 1990",Pamela Andrews,
haines,stephen dedalus,6,17-18,"Vintage, 1990",Pamela Andrews,
stephen dedalus,buck mulligan,6,17-18,"Vintage, 1990",Pamela Andrews,
haines,stephen dedalus,6,18-19,"Vintage, 1990",Pamela Andrews,
buck mulligan,stephen dedalus,2,18,"Vintage, 1990",Pamela Andrews,
stephen dedalus,buck mulligan,2,18,"Vintage, 1990",Pamela Andrews,
buck mulligan,stephen dedalus,4,19,"Vintage, 1990",Pamela Andrews,
haines,stephen dedalus,6,19-20,"Vintage, 1990",Pamela Andrews,
stephen dedalus,buck mulligan,1,20,"Vintage, 1990",Pamela Andrews,
stephen dedalus,haines,6,20-21,"Vintage, 1990",Pamela Andrews,
stephen dedalus,buck mulligan,1,21,"Vintage, 1990",Pamela Andrews,
boatman,businessman,6,21,"Vintage, 1990",Pamela Andrews,
buck mulligan,"young man, swimming",6,21,"Vintage, 1990",Pamela Andrews,
buck mulligan,"elderly man, swimer",3,22,"Vintage, 1990",Pamela Andrews,
buck mulligan,haines,3,22,"Vintage, 1990",Pamela Andrews,
buck mulligan,stephen dedalus,3,22,"Vintage, 1990",Pamela Andrews,
buck mulligan,"young man, swimming",6,22,"Vintage, 1990",Pamela Andrews,
haines,buck mulligan,5,22,"Vintage, 1990",Pamela Andrews,
stephen dedalus,buck mulligan,5,22,"Vintage, 1990",Pamela Andrews,
stephen dedalus,cochrane,5,24,"Vintage, 1990",Pamela Andrews,
stephen dedalus,armstrong,5,24,"Vintage, 1990",Pamela Andrews,
armstrong,classmates,4,24,"Vintage, 1990",Pamela Andrews,
stephen dedalus,comyn,5,25,"Vintage, 1990",Pamela Andrews,
stephen dedalus,talbot,5,25-26,"Vintage, 1990",Pamela Andrews,
stephen dedalus,students,5,26,"Vintage, 1990",Pamela Andrews,Asking class a riddle
stephen dedalus,cyril sargent,6,27-28,"Vintage, 1990",Pamela Andrews,
stephen dedalus,mr. deasy,5,29,"Vintage, 1990",Pamela Andrews,
mr. deasy,students,4,29,"Vintage, 1990",Pamela Andrews,
mr. deasy,stephen dedalus,6,29-30,"Vintage, 1990",Pamela Andrews,
stephen dedalus,buck mulligan,1,31,"Vintage, 1990",Pamela Andrews,
stephen dedalus,curran,1,31,"Vintage, 1990",Pamela Andrews,
stephen dedalus,mccann,1,31,"Vintage, 1990",Pamela Andrews,
stephen dedalus,fred ryan,1,31,"Vintage, 1990",Pamela Andrews,
stephen dedalus,temple,1,31,"Vintage, 1990",Pamela Andrews,
stephen dedalus,russell,1,31,"Vintage, 1990",Pamela Andrews,
stephen dedalus,cousins,1,31,"Vintage, 1990",Pamela Andrews,
stephen dedalus,bob reynolds,1,31,"Vintage, 1990",Pamela Andrews,
stephen dedalus,kohler,1,31,"Vintage, 1990",Pamela Andrews,
stephen dedalus,mrs mckernan,1,31,"Vintage, 1990",Pamela Andrews,
stephen dedalus,mr. deasy,6,32-35,"Vintage, 1990",Pamela Andrews,
stephen dedalus,buck mulligan,1,36,"Vintage, 1990",Pamela Andrews,
mr. deasy,stephen dedalus,5,36,"Vintage, 1990",Pamela Andrews,
stephen dedalus,mrs florence maccabe,2,37,"Vintage, 1990",Pamela Andrews,
stephen dedalus,mr. deasy,1,38,"Vintage, 1990",Pamela Andrews,
stephen dedalus,aunt sara,1,38,"Vintage, 1990",Pamela Andrews,
stephen dedalus,stephen's father,1,38,"Vintage, 1990",Pamela Andrews,
stephen dedalus,walter,5,39,"Vintage, 1990",Pamela Andrews,
stephen dedalus,richie,5,39,"Vintage, 1990",Pamela Andrews,
walter,richie,6,39,"Vintage, 1990",Pamela Andrews,
stephen dedalus,richie,6,39-40,"Vintage, 1990",Pamela Andrews,
